Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
11,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535kg (9,998lb)",GTO,AsiaSat,Success[56],F9 v1.1,Noattempt[57],5 August 2014,08:00
12,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428kg (9,762lb)",GTO,AsiaSat,Success[59],F9 v1.1B1011[8],Noattempt,7 September 2014,05:00
13,"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216kg (4,885lb)[62]",LEO(ISS),NASA(CRS),Success[63],F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],21 September 2014,05:52
14,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395kg (5,280lb)[69]",LEO(ISS),NASA(CRS),Success[70],F9 v1.1B1012[8],Failure(drone ship),10 January 2015,09:47
15,"Cape Canaveral,LC-40",DSCOVR[68][73],"570kg (1,260lb)",HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,F9 v1.1B1013[8],Controlled(ocean)[d],11 February 2015,23:03
16,"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159kg (9,169lb)",GTO,ABSEutelsat,Success,F9 v1.1B1014[8],Noattempt[77],2 March 2015,03:50
17,"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898kg (4,184lb)[82]",LEO(ISS),NASA(CRS),Success,F9 v1.1B1015[8],Failure[83](drone ship),14 April 2015,20:10
18,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707kg (10,377lb)",GTO,Turkmenistan NationalSpace Agency[88],Success,F9 v1.1B1016[8],Noattempt[89],27 April 2015,23:03
19,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952kg (4,303lb)[92]",LEO(ISS),NASA(CRS),Failure[93](in flight),F9 v1.1B1018[8],Precluded[94](drone ship),28 June 2015,14:21
20,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034kg (4,484lb)",LEO,Orbcomm,Success,F9 FTB1019.1[98],Success[99](ground pad),22 December 2015,01:29
21,"VAFB,SLC-4E",Jason-3[68][104],"553kg (1,219lb)",LEO,NASA(LSP)NOAACNES,Success,F9 v1.1B1017[8],Failure(drone ship),17 January 2016,18:42
22,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271kg (11,621lb)",GTO,SES,Success,F9 FTB1020.1[108],Failure(drone ship),4 March 2016,23:35
23,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136kg (6,914lb)[116]",LEO(ISS),NASA(CRS),Success[117],F9 FTB1021.1[115],Success[118](drone ship),8 April 2016,20:43
24,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696kg (10,353lb)[124]",GTO,SKY Perfect JSAT Group,Success,F9 FTB1022.1[122],Success(drone ship),6 May 2016,05:21
25,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100kg (6,800lb)[132]",GTO,Thaicom,Success,F9 FTB1023.1[129],Success[133](drone ship),27 May 2016,21:39
26,"Cape Canaveral,LC-40",ABS-2AEutelsat 117 West B[68],"3,600kg (7,900lb)",GTO,ABSEutelsat,Success,F9 FTB1024.1[108],Failure[64](drone ship),15 June 2016,14:29
27,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257kg (4,976lb)[142]",LEO(ISS),NASA(CRS),Success,F9 FTB1025.1[129],Success(ground pad),18 July 2016,04:45
28,"Cape Canaveral,LC-40",JCSAT-16,"4,600kg (10,100lb)",GTO,SKY Perfect JSAT Group,Success,F9 FTB1026.1[108],Success(drone ship),14 August 2016,05:26
29,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success,F9 FTB1029.1[151],Success[154](drone ship),14 January 2017,17:54
30,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490kg (5,490lb)[160]",LEO(ISS),NASA(CRS),Success,F9 FTB1031.1[8],Success(ground pad),19 February 2017,14:39
31,"KSC,LC-39A",EchoStar 23,"5,600kg (12,300lb)[164]",GTO,EchoStar,Success,F9 FTB1030.1[163],Noattempt[165],16 March 2017,06:00
32,"KSC,LC-39A",SES-10[109][168],"5,300kg (11,700lb)[169]",GTO,SES,Success[170],F9 FT♺B1021.2[115],Success(drone ship),30 March 2017,22:27
33,"KSC,LC-39A",NROL-76[174],Classified,LEO[175],NRO,Success,F9 FTB1032.1[129],Success(ground pad),1 May 2017,11:15
34,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070kg (13,380lb)[181]",GTO,Inmarsat,Success,F9 FTB1034.1[179],Noattempt[165],15 May 2017,23:21
35,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708kg (5,970lb)[186]",LEO(ISS),NASA(CRS),Success,F9 FTB1035.1[185],Success(ground pad),3 June 2017,21:07
36,"KSC,LC-39A",BulgariaSat-1[196],"3,669kg (8,089lb)[197]",GTO,Bulsatcom,Success,F9 FT♺B1029.2[195],Success(drone ship),23 June 2017,19:10
37,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600kg (21,200lb)",LEO,Iridium Communications,Success,F9 FTB1036.1[198],Success(drone ship),25 June 2017,20:25
38,"KSC,LC-39A",Intelsat 35e[201],"6,761kg (14,905lb)[202]",GTO,Intelsat,Success,F9 FTB1037.1[200],Noattempt[165],5 July 2017,23:38
39,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310kg (7,300lb)",LEO(ISS),NASA(CRS),Success,F9 B4B1039.1[207],Success(ground pad),14 August 2017,16:31
40,"VAFB,SLC-4E",Formosat-5[210][211],"475kg (1,047lb)[212]",SSO,NSPO,Success,F9 FTB1038.1[209],Success(drone ship),24 August 2017,18:51
41,"KSC,LC-39A",Boeing X-37BOTV-5,"4,990kg (11,000lb)[216]+ OTV payload",LEO,USAF,Success,F9 B4B1040.1[108],Success(ground pad),7 September 2017,14:00
42,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success,F9 B4B1041.1[219],Success(drone ship),9 October 2017,12:37
43,"KSC,LC-39A",SES-11/EchoStar 105,"5,200kg (11,500lb)",GTO,SES S.A.EchoStar,Success,F9 FT♺B1031.2[220],Success(drone ship),11 October 2017,22:53:00
44,"KSC,LC-39A",Koreasat 5A[222],"3,500kg (7,700lb)",GTO,KT Corporation,Success,F9 B4B1042.1[219],Success(drone ship),30 October 2017,19:34
45,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205kg (4,861lb)",LEO(ISS),NASA(CRS),Success,F9 FT♺B1035.2[227],Success(ground pad),15 December 2017,15:36
46,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success[230],F9 FT♺B1036.2[227],Controlled(ocean)[d][230],23 December 2017,01:27
47,"CCAFS,SLC-40",Zuma[238][239][240],Classified,LEO,Northrop Grumman[f][238],Success[241],F9 B4B1043.1[238],Success(ground pad),8 January 2018,01:00
48,"CCAFS,SLC-40",GovSat-1(SES-16)[246],"4,230kg (9,330lb)[247]",GTO,SES,Success[248],F9 FT♺B1032.2[245],Controlled(ocean)[d][248],31 January 2018,21:25
49,"VAFB,SLC-4E",Paz[269]Tintin A and Tintin B[270],"2,150kg (4,740lb)",SSO,HisdesatexactEarthSpaceX,Success[271],F9 FT♺B1038.2[268],Noattempt[271],22 February 2018,14:17
50,"CCAFS,SLC-40",Hispasat 30W-6[277]PODSat[278],"6,092kg (13,431lb)[279]",GTO,Hispasat[277]NovaWurks,Success[280],F9 B4B1044.1[108],No attempt[281],6 March 2018,05:33
51,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success[286],F9 B4♺B1041.2[268],No attempt[287],30 March 2018,14:14
52,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647kg (5,836lb)[292]",LEO(ISS),NASA(CRS),Success[293],F9 B4♺B1039.2[292],Noattempt[294],2 April 2018,20:30
53,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite(TESS)[304],362kg (798lb)[305],HEOforP/2 orbit,NASA(LSP),Success[306],F9 B4B1045.1[268],Success[306](drone ship),18 April 2018,22:51
54,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600kg (7,900lb)[314]",GTO,Thales-Alenia/BTRC,Success[315],F9 B5[311]B1046.1[268],Success[315](drone ship),11 May 2018,20:14
55,"VAFB,SLC-4E",Iridium NEXT-6(5 satellites)[152][155]GRACE-FO× 2[323][324],"6,460kg (14,240lb)[g]",PolarLEO,Iridium CommunicationsGFZ•NASA,Success[327],F9 B4♺B1043.2[322],Noattempt[165],22 May 2018,19:47
56,"CCAFS,SLC-40",SES-12[331],"5,384kg (11,870lb)[332]",GTO,SES,Success[333],F9 B4♺B1040.2[268],Noattempt[165],4 June 2018,04:45
57,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697kg (5,946lb)[337]",LEO(ISS),NASA(CRS),Success[338],F9 B4♺B1045.2[336],Noattempt[165],29 June 2018,09:42
58,"CCAFS,SLC-40",Telstar 19V[341],"7,075kg (15,598lb)[342]",GTO[343],Telesat,Success[344],F9 B5B1047.1,Success[344](drone ship),22 July 2018,05:50
59,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success[351],F9 B5[349]B1048.1[350],Success[352](drone ship),25 July 2018,11:39
60,"CCAFS,SLC-40",Merah Putih(formerly Telkom 4)[355][356],"5,800kg (12,800lb)[357]",GTO,Telkom Indonesia,Success[358],F9 B5♺B1046.2[354],Success[358](drone ship),7 August 2018,05:18
61,"CCAFS,SLC-40",Telstar 18V/Apstar-5C[341],"7,060kg (15,560lb)[361]",GTO[361],Telesat,Success[361],F9 B5B1049.1[268],Success[361](drone ship),10 September 2018,04:45
62,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000kg (6,600lb)[363]",SSO,CONAE,Success[363],F9 B5♺B1048.2[364],Success[363](ground pad),8 October 2018,02:22
63,"KSC,LC-39A",Es'hail 2[368],"5,300kg (11,700lb)[369]",GTO,Es'hailSat,Success[370],F9 B5♺B1047.2[268],Success[370](drone ship),15 November 2018,20:46
64,"VAFB,SLC-4E",SSO-A(SmallSat Express),"~4,000kg (8,800lb)[372]",SSO,Spaceflight Industries,Success[373],F9 B5♺B1046.3[268]SHERPA,Success[373](drone ship),3 December 2018,18:34:05
65,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500kg (5,500lb)[382]",LEO(ISS),NASA(CRS),Success,F9 B5B1050[268],Failure[383](ground pad),5 December 2018,18:16
66,"CCAFS,SLC-40",GPS III-01(Vespucci),"4,400kg (9,700lb)[388]",MEO,USAF,Success[386],F9 B5B1054[387],Noattempt[386],23 December 2018,13:51
67,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600kg (21,200lb)",PolarLEO,Iridium Communications,Success,F9 B5♺B1049.2[397],Success(drone ship),11 January 2019,15:31
68,"CCAFS,SLC-40",Nusantara Satu(PSN-6)[400]BeresheetMoon lander[401]S5[402],"4,850kg (10,690lb)[403]",GTO,PSNSpaceIL/IAIAir Force Research,Success,F9 B5♺B1048.3[399],Success(drone ship),22 February 2019,01:45
69,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055kg (26,577lb)[415][h]",LEO(ISS),NASA(CCD),Success,F9 B5B1051.1[268][413],Success(drone ship),2 March 2019,07:49
70,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495kg (5,501lb)[432]",LEO(ISS),NASA(CRS),Success,F9 B5B1056.1[420],Success(drone ship),4 May 2019,06:48
71,"CCAFS,SLC-40",Starlinkv0.9(60 satellites),"13,620kg (30,030lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.3[434],Success(drone ship),24 May 2019,02:30
72,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200kg (9,300lb)[443]",SSO,Canadian Space Agency(CSA),Success,F9 B5♺B1051.2[420],Success(ground pad),12 June 2019,14:17
73,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268kg (5,000lb)[464]",LEO(ISS),NASA(CRS),Success,F9 B5♺B1056.2[465],Success(ground pad),25 July 2019,22:01
74,"CCAFS,SLC-40",AMOS-17[473],"6,500kg (14,300lb)[474]",GTO,Spacecom,Success,F9 B5♺B1047.3[472],Noattempt[474],6 August 2019,23:23
75,"CCAFS,SLC-40",Starlink1 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1048.4,Success(drone ship),11 November 2019,14:56
76,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617kg (5,769lb)",LEO(ISS),NASA(CRS),Success,F9 B5B1059.1[482],Success(drone ship),5 December 2019,17:29
77,"CCAFS,SLC-40",JCSat-18/Kacific 1[487],"6,956kg (15,335lb)[486]",GTO,Sky Perfect JSATKacific 1,Success,F9 B5♺B1056.3[482],Success(drone ship),17 December 2019,00:10
78,"CCAFS,SLC-40",Starlink2 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.4,Success(drone ship),7 January 2020,02:19:21
79,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050kg (26,570lb)",Sub-orbital[496],NASA(CTS)[497],Success,F9 B5♺B1046.4,Noattempt,19 January 2020,15:30
80,"CCAFS,SLC-40",Starlink3 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.3,Success(drone ship),29 January 2020,14:07
81,"CCAFS,SLC-40",Starlink4 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1056.4,Failure(drone ship),17 February 2020,15:05
82,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977kg (4,359lb)[507]",LEO(ISS),NASA(CRS),Success,F9 B5♺B1059.2,Success(ground pad),7 March 2020,04:50
83,"KSC,LC-39A",Starlink5 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1048.5,Failure(drone ship),18 March 2020,12:16
84,"KSC,LC-39A",Starlink6 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.4,Success(drone ship),22 April 2020,19:30
85,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1Endeavour),"12,530kg (27,620lb)[519]",LEO(ISS),NASA(CCDev),Success,F9 B5B1058.1[518],Success(drone ship),30 May 2020,19:22
86,"CCAFS,SLC-40",Starlink7 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.5,Success(drone ship),4 June 2020,01:25
87,"CCAFS,SLC-40","Starlink8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410kg (33,970lb)[523]",LEO,SpaceXPlanet Labs,Success,F9 B5♺B1059.3,Success(drone ship),13 June 2020,09:21
88,"CCAFS,SLC-40",GPS III-03(Matthew Henson),"4,311kg (9,504lb)[530]",MEO,U.S. Space Force[530],Success,F9 B5B1060.1,Success(drone ship),30 June 2020,20:10:46
89,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000kg (11,000–13,000lb)",GTO,Republic of Korea Army,Success,F9 B5♺B1058.2[544],Success(drone ship),20 July 2020,21:30
90,"KSC,LC-39A","Starlink9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932kg (32,919lb)",LEO,SpaceXSpaceflight Industries(BlackSky),Success,F9 B5♺B1051.5,Success(drone ship),7 August 2020,05:12
91,"CCAFS,SLC-40","Starlink10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440kg (34,040lb)",LEO,SpaceXPlanet Labs,Success,F9 B5♺B1049.6[544],Success(drone ship),18 August 2020,14:31
92,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130kg (6,900lb)[558]",SSO,CONAEPlanetIQTyvak,Success,F9 B5♺B1059.4,Success(ground pad),30 August 2020,23:18
93,"KSC,LC-39A",Starlink11 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1060.2[563],Success(drone ship),3 September 2020,12:46:14
94,"KSC,LC-39A",Starlink12 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1058.3[565],Success(drone ship),6 October 2020,11:29:34
95,"KSC,LC-39A",Starlink13 v1.0 (60 satellites),"15,600kg (34,400lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.6[568],Success(drone ship),18 October 2020,12:25:57
96,"CCAFS,SLC-40",Starlink14 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1060.3,Success(drone ship),24 October 2020,15:31:34
97,"CCAFS,SLC-40",GPS III-04(Sacagawea)[541][573],"4,311kg (9,504lb)",MEO,USSF,Success,F9 B5B1062.1,Success(drone ship),5 November 2020,23:24:23
98,"KSC,LC-39A",Crew-1(Crew Dragon C207.1Resilience),"~12,500kg (27,600lb)",LEO(ISS),NASA(CCP)[497],Success,F9 B5B1061.1[582],Success(drone ship),16 November 2020,00:27
99,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192kg (2,628lb)",LEO,NASA/NOAA/ESA/EUMETSAT,Success,F9 B5B1063.1,Success(ground pad),21 November 2020,17:17:08
100,"CCAFS,SLC-40",Starlink15 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1049.7[590],Success(drone ship),25 November 2020,02:13
101,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972kg (6,552lb)",LEO(ISS),NASA(CRS),Success,F9 B5 ♺B1058.4[592],Success(drone ship),6 December 2020,16:17:08
102,"CCSFS,SLC-40[597]",SXM-7,"7,000kg (15,000lb)",GTO,Sirius XM,Success,F9 B5 ♺B1051.7,Success(drone ship),13 December 2020,17:30:00
103,"KSC,LC-39A",NROL-108,Classified,LEO,NRO,Success,F9 B5 ♺B1059.5,Success(ground pad),19 December 2020,14:00:00
104,"CCSFS,SLC-40",Türksat 5A[605],"3,500kg (7,700lb)",GTO,Türksat,Success,F9 B5♺B1060.4,Success(drone ship),8 January 2021,02:15
105,"KSC,LC-39A",Starlink16 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1051.8[609],Success(drone ship),20 January 2021,13:02
106,"CCSFS,SLC-40",Transporter-1(143 smallsat rideshare),"~5,000kg (11,000lb)",SSO,Various,Success,F9 B5♺B1058.5[613],Success(drone ship),24 January 2021,15:00
107,"CCSFS,SLC-40",Starlink18 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1060.5[624],Success(drone ship),4 February 2021,06:19
108,"CCSFS,SLC-40",Starlink19 v1.0 (60 satellites)[627],"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1059.6,Failure(drone ship),16 February 2021,03:59:37
109,"KSC,LC-39A",Starlink17 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1049.8[634],Success(drone ship),4 March 2021,08:24
110,"CCSFS,SLC-40",Starlink20 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1058.6[638],Success(drone ship),11 March 2021,08:13:29
111,"KSC,LC-39A",Starlink21 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1051.9,Success(drone ship),14 March 2021,10:01
112,"CCSFS,SLC-40",Starlink22 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1060.6[643],Success(drone ship),24 March 2021,08:28
113,"CCSFS,SLC-40",Starlink23 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5 ♺B1058.7,Success(drone ship),7 April 2021,16:34
114,"KSC,LC-39A",Crew-2(Crew Dragon C206.2Endeavour♺),"~13,000kg (29,000lb)[648]",LEO(ISS),NASA(CTS)[497],Success,F9 B5♺B1061.2[647],Success(drone ship),23 April 2021,9:49
115,"CCSFS,SLC-40",Starlink24 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1060.7[652],Success(drone ship),29 April 2021,03:44
116,"KSC,LC-39A",Starlink25 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1049.9[655],Success(drone ship),4 May 2021,19:01
117,"CCSFS,SLC-40",Starlink27 v1.0 (60 satellites),"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1051.10[657],Success(drone ship),9 May 2021,06:42
118,"KSC,LC-39A[661]",Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130[662],"~14,000kg (31,000lb)",LEO,SpaceXCapella SpaceandTyvak,Success,F9 B5♺B1058.8[660],Success(drone ship),15 May 2021,22:56
119,"CCSFS,SLC-40[665]",Starlink28 v1.0 (60 Satellites)[665],"15,600kg (34,400lb)",LEO,SpaceX,Success,F9 B5♺B1063.2[665],Success(drone ship),26 May 2021,18:59
120,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328kg (7,337lb)",LEO(ISS),NASA(CRS),Success,F9 B5B1067.1[668],Success(drone ship),3 June 2021,17:29
121,"CCSFS,SLC-40",SXM-8[674],"7,000kg (15,000lb)",GTO,Sirius XM,Success,F9 B5♺B1061.3,Success(drone ship),6 June 2021,04:26
